"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3463","deleteUserWithInvalidToken_returnsBadRequestStatus","NotesApiTestSuite","Mon Feb 17 17:48:02 GMT 2025","passed","Mon Feb 17 17:48:06 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserTests","NotesApiUserTests","com.harshitbhardwaj.tests.NotesApiUserTests","deleteUserWithInvalidToken_returnsBadRequestStatus"
"","252","getNoteWithInvalidId_returnsBadRequestStatus","NotesApiTestSuite","Mon Feb 17 17:48:06 GMT 2025","passed","Mon Feb 17 17:48:06 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserNotesTests","NotesApiUserNotesTests","com.harshitbhardwaj.tests.NotesApiUserNotesTests","getNoteWithInvalidId_returnsBadRequestStatus"
"","278","putNoteWithValidIdAndBody_returnsSuccessStatusAndNote","NotesApiTestSuite","Mon Feb 17 17:48:07 GMT 2025","passed","Mon Feb 17 17:48:08 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserNotesTests","NotesApiUserNotesTests","com.harshitbhardwaj.tests.NotesApiUserNotesTests","putNoteWithValidIdAndBody_returnsSuccessStatusAndNote"
"","180","getUserProfile_returnsSuccessStatus","NotesApiTestSuite","Mon Feb 17 17:48:07 GMT 2025","passed","Mon Feb 17 17:48:07 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserTests","NotesApiUserTests","com.harshitbhardwaj.tests.NotesApiUserTests","getUserProfile_returnsSuccessStatus"
"","110","logoutUser_withoutAuthorization__returnsUnauthorizedRequestStatus","NotesApiTestSuite","Mon Feb 17 17:48:06 GMT 2025","passed","Mon Feb 17 17:48:07 GMT 2025","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserTests","NotesApiUnauthorizedUserTests","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserTests","logoutUser_withoutAuthorization__returnsUnauthorizedRequestStatus"
"","323","loggingUserWithValidCredentials_returnsSuccessStatusAndToken","NotesApiTestSuite","Mon Feb 17 17:48:07 GMT 2025","passed","Mon Feb 17 17:48:07 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserTests","NotesApiUserTests","com.harshitbhardwaj.tests.NotesApiUserTests","loggingUserWithValidCredentials_returnsSuccessStatusAndToken"
"","405","changeUserPassword_withoutAuthorization_returnsUnauthorizedRequestStatus","NotesApiTestSuite","Mon Feb 17 17:48:06 GMT 2025","passed","Mon Feb 17 17:48:06 GMT 2025","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserTests","NotesApiUnauthorizedUserTests","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserTests","changeUserPassword_withoutAuthorization_returnsUnauthorizedRequestStatus"
"","95","putNote_withoutAuthorization_returnsUnauthorizedRequestStatus","NotesApiTestSuite","Mon Feb 17 17:48:07 GMT 2025","passed","Mon Feb 17 17:48:07 GMT 2025","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserNotesTests","NotesApiUnauthorizedUserNotesTests","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserNotesTests","putNote_withoutAuthorization_returnsUnauthorizedRequestStatus"
"","4005","healthOfNotesApiService_returnsSuccessStatus","NotesApiTestSuite","Mon Feb 17 17:48:02 GMT 2025","passed","Mon Feb 17 17:48:06 GMT 2025","com.harshitbhardwaj.tests.NotesApiCommonTests","NotesApiCommonTests","com.harshitbhardwaj.tests.NotesApiCommonTests","healthOfNotesApiService_returnsSuccessStatus"
"","158","postNote_withoutAuthorization_returnsUnauthorizedRequestStatus","NotesApiTestSuite","Mon Feb 17 17:48:07 GMT 2025","passed","Mon Feb 17 17:48:07 GMT 2025","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserNotesTests","NotesApiUnauthorizedUserNotesTests","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserNotesTests","postNote_withoutAuthorization_returnsUnauthorizedRequestStatus"
"","202","getNoteWithValidId_returnsSuccessStatusAndNote","NotesApiTestSuite","Mon Feb 17 17:48:07 GMT 2025","passed","Mon Feb 17 17:48:07 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserNotesTests","NotesApiUserNotesTests","com.harshitbhardwaj.tests.NotesApiUserNotesTests","getNoteWithValidId_returnsSuccessStatusAndNote"
"","170","getUserProfile_withoutAuthorization_returnsUnauthorizedRequestStatus","NotesApiTestSuite","Mon Feb 17 17:48:06 GMT 2025","passed","Mon Feb 17 17:48:06 GMT 2025","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserTests","NotesApiUnauthorizedUserTests","com.harshitbhardwaj.tests.NotesApiUnauthorizedUserTests","getUserProfile_withoutAuthorization_returnsUnauthorizedRequestStatus"
"","271","registeringValidUser_returnsSuccessStatus","NotesApiTestSuite","Mon Feb 17 17:48:07 GMT 2025","passed","Mon Feb 17 17:48:07 GMT 2025","com.harshitbhardwaj.tests.NotesApiUserTests","NotesApiUserTests","com.harshitbhardwaj.tests.NotesApiUserTests","registeringValidUser_returnsSuccessStatus"
